[Mon Jan 13 08:46:37.738282 2025] [core:warn] [pid 20252:tid 668] AH00098: pid file C:/Users/akk1to/Documents/nodejs-projects/JUDGER/core/apache2/logs/httpd.pid overwritten -- Unclean shutdown of previous Apache run?
[Mon Jan 13 08:46:40.477973 2025] [mpm_winnt:notice] [pid 20252:tid 668] AH00455: Apache/2.4.25 (Win32) PHP/7.1.1 configured -- resuming normal operations
[Mon Jan 13 08:46:40.477973 2025] [mpm_winnt:notice] [pid 20252:tid 668] AH00456: Apache Lounge VC14 Server built: Dec 17 2016 10:42:52
[Mon Jan 13 08:46:40.477973 2025] [core:notice] [pid 20252:tid 668] AH00094: Command line: 'C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\core\\apache2\\bin\\httpd_z.exe -d C:/Users/akk1to/Documents/nodejs-projects/JUDGER/core/apache2 -f C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\core\\apache2\\conf\\httpd.conf -d C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\core\\apache2'
[Mon Jan 13 08:46:40.499445 2025] [mpm_winnt:notice] [pid 20252:tid 668] AH00418: Parent: Created child process 14136
[Mon Jan 13 08:46:42.046989 2025] [mpm_winnt:notice] [pid 14136:tid 716] AH00354: Child: Starting 150 worker threads.
[Mon Jan 13 08:46:42.101617 2025] [php7:notice] [pid 14136:tid 1920] [client ::1:51485] PHP Notice:  Undefined index: tname in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\index.php on line 44
[Mon Jan 13 08:47:47.308163 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:47.310679 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:47.310679 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:48.305450 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:48.305450 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:48.305450 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:49.304616 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:49.304616 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:49.304616 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:50.989367 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:50.989367 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:50.989367 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
[Mon Jan 13 08:47:51.307713 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/,a:/submit/Logs/): The system cannot find the path specified. (code: 3) in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:51.307713 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  opendir(a:/submit/Logs/): failed to open dir: No such file or directory in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 4, referer: http://localhost/index.php
[Mon Jan 13 08:47:51.307713 2025] [php7:warn] [pid 14136:tid 1920] [client ::1:51529] PHP Warning:  readdir() expects parameter 1 to be resource, boolean given in C:\\Users\\akk1to\\Documents\\nodejs-projects\\JUDGER\\www\\logs.php on line 6, referer: http://localhost/index.php
